# freq, re(lna), im(lna), re(amb), im(amb), re(hot), im(hot), re(open), im(open), re(short), im(short), re(sr_s11), im(sr_s11_, re(sr_s12), im(sr_s12), re(sr_s22_, im(sr_s22)
41.027832 -4.443048e-03 2.305619e-02 -1.823200e-01 -1.784296e-01 -9.434287e-02 -2.577321e-02 -1.151804e+00 1.101438e-01 5.368231e-01 -3.574905e-01 8.564779e-01 -1.473876e-01 3.013959e-01 -4.044172e-01 -4.109704e-01 9.609995e-01
41.076660 -4.445058e-03 2.307331e-02 -1.794608e-01 -1.755734e-01 -9.255114e-02 -2.558243e-02 -1.145676e+00 1.304805e-01 5.364091e-01 -3.636139e-01 8.429895e-01 -1.442218e-01 3.112945e-01 -4.014272e-01 -4.067136e-01 9.457675e-01
41.125488 -4.446728e-03 2.309015e-02 -1.765986e-01 -1.727199e-01 -9.076314e-02 -2.538685e-02 -1.139220e+00 1.506086e-01 5.359598e-01 -3.698103e-01 8.295089e-01 -1.410764e-01 3.212043e-01 -3.984492e-01 -4.023939e-01 9.305460e-01
41.174316 -4.448058e-03 2.310671e-02 -1.737348e-01 -1.698703e-01 -8.897963e-02 -2.518660e-02 -1.132442e+00 1.705244e-01 5.354701e-01 -3.760827e-01 8.160419e-01 -1.379526e-01 3.311210e-01 -3.954844e-01 -3.980142e-01 9.153416e-01
41.223145 -4.449048e-03 2.312299e-02 -1.708705e-01 -1.670257e-01 -8.720131e-02 -2.498182e-02 -1.125351e+00 1.902250e-01 5.349346e-01 -3.824338e-01 8.025939e-01 -1.348515e-01 3.410405e-01 -3.925334e-01 -3.935771e-01 9.001604e-01
41.271973 -4.449698e-03 2.313898e-02 -1.680071e-01 -1.641874e-01 -8.542897e-02 -2.477267e-02 -1.117954e+00 2.097063e-01 5.343479e-01 -3.888658e-01 7.891710e-01 -1.317744e-01 3.509582e-01 -3.895973e-01 -3.890855e-01 8.850092e-01
41.320801 -4.450009e-03 2.315469e-02 -1.651458e-01 -1.613566e-01 -8.366328e-02 -2.455929e-02 -1.110256e+00 2.289659e-01 5.337043e-01 -3.953812e-01 7.757786e-01 -1.287222e-01 3.608701e-01 -3.866769e-01 -3.845421e-01 8.698939e-01
41.369629 -4.449979e-03 2.317011e-02 -1.622876e-01 -1.585343e-01 -8.190494e-02 -2.434182e-02 -1.102266e+00 2.480011e-01 5.329981e-01 -4.019817e-01 7.624221e-01 -1.256962e-01 3.707721e-01 -3.837730e-01 -3.799497e-01 8.548207e-01
41.418457 -4.449610e-03 2.318525e-02 -1.594338e-01 -1.557218e-01 -8.015463e-02 -2.412042e-02 -1.093989e+00 2.668094e-01 5.322233e-01 -4.086691e-01 7.491066e-01 -1.226973e-01 3.806601e-01 -3.808865e-01 -3.753110e-01 8.397955e-01
41.467285 -4.448900e-03 2.320010e-02 -1.565856e-01 -1.529200e-01 -7.841302e-02 -2.389523e-02 -1.085433e+00 2.853885e-01 5.313741e-01 -4.154445e-01 7.358376e-01 -1.197265e-01 3.905301e-01 -3.780182e-01 -3.706288e-01 8.248242e-01
41.516113 -4.447852e-03 2.321467e-02 -1.537440e-01 -1.501301e-01 -7.668075e-02 -2.366639e-02 -1.076604e+00 3.037362e-01 5.304442e-01 -4.223091e-01 7.226201e-01 -1.167848e-01 4.003782e-01 -3.751688e-01 -3.659059e-01 8.099126e-01
41.564941 -4.446464e-03 2.322895e-02 -1.509103e-01 -1.473531e-01 -7.495846e-02 -2.343407e-02 -1.067509e+00 3.218508e-01 5.294276e-01 -4.292636e-01 7.094591e-01 -1.138732e-01 4.102004e-01 -3.723392e-01 -3.611450e-01 7.950662e-01
41.613770 -4.444738e-03 2.324294e-02 -1.480854e-01 -1.445900e-01 -7.324672e-02 -2.319840e-02 -1.058154e+00 3.397308e-01 5.283181e-01 -4.363085e-01 6.963594e-01 -1.109924e-01 4.199931e-01 -3.695301e-01 -3.563489e-01 7.802904e-01
41.662598 -4.442672e-03 2.325664e-02 -1.452706e-01 -1.418419e-01 -7.154622e-02 -2.295955e-02 -1.048545e+00 3.573740e-01 5.271093e-01 -4.434436e-01 6.833261e-01 -1.081435e-01 4.297521e-01 -3.667423e-01 -3.515205e-01 7.655911e-01
41.711426 -4.440269e-03 2.327006e-02 -1.424669e-01 -1.391097e-01 -6.985751e-02 -2.271766e-02 -1.038689e+00 3.747793e-01 5.257951e-01 -4.506690e-01 6.703637e-01 -1.053273e-01 4.394740e-01 -3.639765e-01 -3.466625e-01 7.509733e-01
41.760254 -4.437528e-03 2.328319e-02 -1.396753e-01 -1.363944e-01 -6.818114e-02 -2.247288e-02 -1.028591e+00 3.919454e-01 5.243690e-01 -4.579840e-01 6.574769e-01 -1.025444e-01 4.491551e-01 -3.612335e-01 -3.417776e-01 7.364420e-01
41.809082 -4.434450e-03 2.329602e-02 -1.368967e-01 -1.336969e-01 -6.651767e-02 -2.222537e-02 -1.018257e+00 4.088713e-01 5.228247e-01 -4.653881e-01 6.446701e-01 -9.979570e-02 4.587918e-01 -3.585138e-01 -3.368685e-01 7.220024e-01
41.857910 -4.431036e-03 2.330857e-02 -1.341324e-01 -1.310182e-01 -6.486764e-02 -2.197528e-02 -1.007693e+00 4.255559e-01 5.211561e-01 -4.728799e-01 6.319475e-01 -9.708189e-02 4.683807e-01 -3.558182e-01 -3.319379e-01 7.076593e-01
41.906738 -4.427286e-03 2.332083e-02 -1.313831e-01 -1.283590e-01 -6.323155e-02 -2.172276e-02 -9.969050e-01 4.419983e-01 5.193566e-01 -4.804581e-01 6.193135e-01 -9.440365e-02 4.779184e-01 -3.531474e-01 -3.269887e-01 6.934174e-01
41.955566 -4.423200e-03 2.333280e-02 -1.286498e-01 -1.257203e-01 -6.160992e-02 -2.146795e-02 -9.858975e-01 4.581979e-01 5.174202e-01 -4.881210e-01 6.067721e-01 -9.176160e-02 4.874016e-01 -3.505019e-01 -3.220233e-01 6.792813e-01
42.004395 -4.418780e-03 2.334448e-02 -1.259335e-01 -1.231028e-01 -6.000318e-02 -2.121102e-02 -9.746759e-01 4.741543e-01 5.153405e-01 -4.958666e-01 5.943271e-01 -8.915632e-02 4.968271e-01 -3.478823e-01 -3.170444e-01 6.652552e-01
42.053223 -4.414026e-03 2.335587e-02 -1.232352e-01 -1.205074e-01 -5.841186e-02 -2.095210e-02 -9.632460e-01 4.898662e-01 5.131115e-01 -5.036925e-01 5.819827e-01 -8.658846e-02 5.061914e-01 -3.452894e-01 -3.120549e-01 6.513440e-01
42.102051 -4.408940e-03 2.336696e-02 -1.205556e-01 -1.179349e-01 -5.683638e-02 -2.069136e-02 -9.516125e-01 5.053335e-01 5.107270e-01 -5.115961e-01 5.697424e-01 -8.405851e-02 5.154917e-01 -3.427235e-01 -3.070572e-01 6.375516e-01
42.150879 -4.403521e-03 2.337777e-02 -1.178956e-01 -1.153860e-01 -5.527717e-02 -2.042893e-02 -9.397803e-01 5.205557e-01 5.081811e-01 -5.195744e-01 5.576099e-01 -8.156697e-02 5.247250e-01 -3.401854e-01 -3.020539e-01 6.238819e-01
42.199707 -4.397771e-03 2.338829e-02 -1.152560e-01 -1.128613e-01 -5.373462e-02 -2.016497e-02 -9.277541e-01 5.355326e-01 5.054680e-01 -5.276244e-01 5.455886e-01 -7.911429e-02 5.338883e-01 -3.376755e-01 -2.970475e-01 6.103389e-01
42.248535 -4.391691e-03 2.339851e-02 -1.126377e-01 -1.103617e-01 -5.220913e-02 -1.989963e-02 -9.155385e-01 5.502638e-01 5.025817e-01 -5.357425e-01 5.336818e-01 -7.670089e-02 5.429788e-01 -3.351943e-01 -2.920406e-01 5.969263e-01
42.297363 -4.385282e-03 2.340845e-02 -1.100414e-01 -1.078877e-01 -5.070107e-02 -1.963304e-02 -9.031381e-01 5.647490e-01 4.995168e-01 -5.439249e-01 5.218928e-01 -7.432715e-02 5.519938e-01 -3.327422e-01 -2.870356e-01 5.836477e-01
42.346191 -4.378545e-03 2.341809e-02 -1.074679e-01 -1.054400e-01 -4.921079e-02 -1.936535e-02 -8.905572e-01 5.789880e-01 4.962676e-01 -5.521677e-01 5.102245e-01 -7.199344e-02 5.609306e-01 -3.303199e-01 -2.820351e-01 5.705065e-01
42.395020 -4.371482e-03 2.342744e-02 -1.049178e-01 -1.030191e-01 -4.773860e-02 -1.909671e-02 -8.777998e-01 5.929810e-01 4.928288e-01 -5.604666e-01 4.986797e-01 -6.970000e-02 5.697869e-01 -3.279276e-01 -2.770412e-01 5.575058e-01
42.443848 -4.364092e-03 2.343651e-02 -1.023920e-01 -1.006257e-01 -4.628487e-02 -1.882725e-02 -8.648704e-01 6.067272e-01 4.891953e-01 -5.688168e-01 4.872616e-01 -6.744722e-02 5.785598e-01 -3.255659e-01 -2.720566e-01 5.446491e-01
